ID,organism,Time (hr),rep1,rep2,rep3,OriSource,,
Exp1,H,0,14.91834053,11.44989583,10.84647976,LG-MHM,,
Exp1,H,5,68.54603331,53.29042783,55.56499043,LG-MHM,,
Exp1,H,19,33.9739792,36.07546199,39.54233946,LG-MHM,,
Exp1,H,48,42.05105168,67.08296104,66.51114035,LG-MHM,,
Exp1,H,72,69.69250057,100.668231,104.0324601,LG-MHM,,
Exp1,H,99,48.98876182,128.3610312,109.5451444,LG-MHM,,
Exp2,H,0,67.54422485,40.75760555,37.54849299,LG-MHM,,
Exp2,H,24,100.8026214,64.87965577,56.60378253,LG-MHM,,
Exp2,H,49,121.6617665,76.23924399,69.00059102,LG-MHM,,
Exp2,H,72,128.2169223,89.06220781,88.52250633,LG-MHM,,
Exp3,H,0,-1.411018492,-1.473017389,-1.30429908,LG-MHM,,
Exp3,H,24,35.38741298,16.15536603,21.88183909,LG-MHM,,
Exp3,H,48,48.15724993,31.60483096,44.33813978,LG-MHM,,
Exp3,H,72,91.47474781,72.8890344,94.82017622,LG-MHM,,
Exp4,H,0,-4.437995504,-5.13843914,-4.772272264,LG-MHM,,
Exp4,H,8,18.43509529,13.29800809,19.57804935,LG-MHM,,
Exp4,H,24,34.33275879,28.01018844,35.90252877,LG-MHM,,
Exp4,H,48,38.44983777,28.57730114,45.30661745,LG-MHM,,
Exp5,H,0,52.42968309,53.73427954,53.60646566,LG-MHM,,
Exp5,H,23.5,57.91147123,65.49041454,64.83186417,LG-MHM,,
Exp5,H,46,68.60189659,83.26454198,82.24193895,LG-MHM,,
Exp5,H,72.5,76.22417368,89.71365775,90.05999364,LG-MHM,,
Exp6,H,0,37.0281821,37.07292538,31.86291424,LG-MHM,,
Exp6,H,24,23.88050579,26.32528645,12.78154249,LG-MHM,,
Exp6,H,47,28.7684272,26.71584226,8.140619042,LG-MHM,,
Exp6,H,73,41.76410933,49.34537286,27.58318823,LG-MHM,,
Exp7,H,0,28.74061336,42.4163805,29.39317979,LG-MHM,,
Exp7,H,5,18.17203433,31.6057187,21.19968806,LG-MHM,,
Exp7,H,18,18.7368199,39.41392279,25.28253217,LG-MHM,,
Exp7,H,42,3.462905237,23.45455933,17.99951259,LG-MHM,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,